Area_id,area,area_title,occ_title,tot_emp,h_mean,a_mean
129,30,Montana,Computer and Mathematical Occupations,"8,660",31.44,"65,390"
130,31,Nebraska,Computer and Mathematical Occupations,"30,550",37.15,"77,270"
131,32,Nevada,Computer and Mathematical Occupations,"20,150",37.96,"78,960"
132,33,New Hampshire,Computer and Mathematical Occupations,"21,660",45.04,"93,680"
133,34,New Jersey,Computer and Mathematical Occupations,"144,240",48.75,"101,390"
134,35,New Mexico,Computer and Mathematical Occupations,"15,520",37.9,"78,830"
135,36,New York,Computer and Mathematical Occupations,"264,620",46.79,"97,320"
136,37,North Carolina,Computer and Mathematical Occupations,"135,130",42.13,"87,630"
137,38,North Dakota,Computer and Mathematical Occupations,"8,050",33.34,"69,350"
138,39,Ohio,Computer and Mathematical Occupations,"150,790",39.46,"82,080"
139,40,Oklahoma,Computer and Mathematical Occupations,"30,540",34.39,"71,540"
140,41,Oregon,Computer and Mathematical Occupations,"53,550",40.93,"85,140"
141,42,Pennsylvania,Computer and Mathematical Occupations,"158,420",40.77,"84,800"
142,44,Rhode Island,Computer and Mathematical Occupations,"13,680",42.32,"88,020"
143,45,South Carolina,Computer and Mathematical Occupations,"39,740",35.59,"74,030"
144,46,South Dakota,Computer and Mathematical Occupations,"8,160",31.58,"65,680"
145,47,Tennessee,Computer and Mathematical Occupations,"56,460",36.21,"75,310"
146,48,Texas,Computer and Mathematical Occupations,"364,120",43.63,"90,740"
147,49,Utah,Computer and Mathematical Occupations,"52,430",39.3,"81,740"
148,50,Vermont,Computer and Mathematical Occupations,"7,280",36.5,"75,920"
149,51,Virginia,Computer and Mathematical Occupations,"206,750",49.25,"102,430"
150,53,Washington,Computer and Mathematical Occupations,"164,830",52.24,"108,660"
151,54,West Virginia,Computer and Mathematical Occupations,"11,010",34.33,"71,400"
152,55,Wisconsin,Computer and Mathematical Occupations,"77,540",37.06,"77,080"
153,56,Wyoming,Computer and Mathematical Occupations,"3,030",32.4,"67,380"
154,1,Alabama,Architecture and Engineering Occupations,"43,510",41.99,"87,340"
155,2,Alaska,Architecture and Engineering Occupations,"7,930",50.96,"106,000"
156,4,Arizona,Architecture and Engineering Occupations,"52,050",41.02,"85,330"
157,5,Arkansas,Architecture and Engineering Occupations,"12,500",34.13,"70,990"
158,6,California,Architecture and Engineering Occupations,"337,180",48.46,"100,800"
159,8,Colorado,Architecture and Engineering Occupations,"61,970",43.8,"91,090"
160,9,Connecticut,Architecture and Engineering Occupations,"34,960",42.8,"89,030"
161,10,Delaware,Architecture and Engineering Occupations,"6,630",43.96,"91,430"
162,11,District of Columbia,Architecture and Engineering Occupations,"11,930",52.98,"110,200"
163,12,Florida,Architecture and Engineering Occupations,"106,320",36.23,"75,360"
164,13,Georgia,Architecture and Engineering Occupations,"62,570",38.93,"80,970"
165,15,Hawaii,Architecture and Engineering Occupations,"9,250",39.14,"81,410"
166,16,Idaho,Architecture and Engineering Occupations,"13,590",39.79,"82,750"
167,17,Illinois,Architecture and Engineering Occupations,"88,180",40.26,"83,730"
168,18,Indiana,Architecture and Engineering Occupations,"50,580",35.51,"73,860"
169,19,Iowa,Architecture and Engineering Occupations,"20,830",34.92,"72,640"
170,20,Kansas,Architecture and Engineering Occupations,"24,110",37.52,"78,040"
